source_dataset,source_split,source_row_id,text,anger,disgust,fear,joy,sadness,surprise,emonoba_disgust_assumption,f5_eligible,original_love,original_class,original_contempt,original_enjoyment,domain,topic
EmoNoBa,Train,1705,সঠিক সিদ্ধান্ত। ধন্যবাদ পি এম। ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,18128,অতিরিক্ত সময়ে যখন মনে হচ্ছিল কারও পা চলছে না ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Sports
EmoNoBa,Train,1541,আফ্রিদি ভাইয়ের শেরওয়ানি তা অনেক সুন্দর ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,24679,নটির পুয়াইনতর পুটকির খাল তুলো ডান্ডা দিয়া ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,227,আসলে যে খেলে সেই বুঝে খেলাটা কি  ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,6902,"সত্যি ভালোবাসা করে যার ভেঙে গেছে সেই বুঝতে পারে এই গানের বেথা।,😭😭😭😭😭 ",1,0,0,0,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,11986,আমি চিকন মানুষ ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Education
EmoNoBa,Train,12544,আমি ২৩০ টাকা দিয়ে কিনেছি সুলতানি টুপি ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Fashion
EmoNoBa,Train,2261,হিহিহি মুই হাচ জানুয়ারি 😂 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,2517,মনে হয় দেশ একনো সাদিন হয় নি আবার যুদ্ধ করতে হবে .............. ,1,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,16265,আপু তোমার গরুর মাংসের রেসেপি চাই। ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Travel
EmoNoBa,Train,26943,নুরের আলো মাদিনা চেনেল ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,14831,"কুনো বিএনপি নাই, তবে ভোট দিতে দেয়ার উচিৎ চিলো ",1,0,0,0,0,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,12616,আয়মান রে অনেক ছেলেরা পুটকি মারছে।। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Education
EmoNoBa,Train,11984,তার সুখ মরে যায়। সুখী হবার সহজ উপায় বিবেকহীন হওয়া ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,7968,অনেক দারুন লাগলো।😍😍😍😍😍😍😍😍😘😘😘😘😘😘😘😍😍😍😍😘😘😘😘😘😘😘😍😍😍😍😘😘😘😘😘😘😘😍😍😍😍😘😘😘 ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Music
EmoNoBa,Train,21438,কেন হঠাৎ তুমি এলে ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,17202,একসাথে দুই খ্যাতকে ভাল্লাগতাসে 😃😃😃 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,23865,"অনুষ্ঠান আয়োজন করছে যারা,,, সেই শালারা কি জানো না বাংলাদেশে কি মডেল নাই,,,। বিলাতি কুত্তা নিয়ে অনুষ্ঠান করে,,,। ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,18795,ভাই রোকিয়াকে দেখতে চাই ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,1033,পাটিয়ে দিছেন ভাই বলার ভাষা নেই হাশির ঠেলাই খাট বেঙ্গে গেছে 😝 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,1192,ভাইয়া শুধু গাড়ি নিয়ে খেলা যাক ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Game
EmoNoBa,Train,19744,এই মানুষটিকে সবার সামনে এনে কটিন শান্তি দেওয়া হোক। ফাসি দেওয়া হোক এদের। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,1830,অনেক অনেক ধন্যবাদ ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal
EmoNoBa,Train,8063,"আপনার ছোট পোলাপানের মত ন্যাকামি পছন্দ করি না,, ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Travel
EmoNoBa,Train,25444,মিউজিক টা একদূম বাজে ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,5598,দারুন বস সামনে আরো নতুন অনেক চমক দিবে আসা করি ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Music
EmoNoBa,Train,11818,জীবনে প্রথম স্বপ্নে দেখার ব্যাক্তির সাথে বাস্তবে দেখা হওয়ার কথা । এটাই ওর আর আমার সাথে ১ম এবং শেষ দেখা । এরই মাঝে কত বর্ষা এলো আর গেলো জানেন ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,1133,এই খবর ইন্টারনেট-বাহিত হয়ে ছড়িয়ে পড়েছে বিশ্বে। তবু মেসিকে বের করতে পারেনি কলকাতার রাস্তাঘাট। গঞ্জালো হিগুয়াইন ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Sports
EmoNoBa,Train,1586,কাফিরের বাঁচ্চা আল্লাহ্ তোদের বিচার করবে! আল্লাহ্ তোদের বিচার করবেই!!! ইয়া আল্লাহ্ হিদায়াত যদি এদের কপালে না থাকে ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Politics
EmoNoBa,Train,720,এটা মধ্যবিত্তের জন্য নয় ..সবকিছুর দাম বেশি ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Food
EmoNoBa,Train,24664,টিভির দর্শক ও অপামর ক্রিকেট-পাগলা বাঙ্গালীর কাছে ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Sports
EmoNoBa,Train,3857,বড় মানুষের মনটাও বড় হয়। ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal
EmoNoBa,Train,7754,ব্যাটা আবুল কোনহানকার ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Education
EmoNoBa,Train,11775,আপনি পাগল কিন্তু অনেক ভালো খেলোয়াড় ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Game
EmoNoBa,Train,12332,কঠিন বাস্তবতা। বাস্তবে এই রকম কমই হয়..... ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,10151,গল্পটা ভালোই বানান ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Business
EmoNoBa,Train,6614,"ফাসি দেওয়া হক। এইটাই বিচার,,,,,,,,,,,, ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,22578,দোয়া করি এভাবে জানি সবার মানের আশা পুরনো হয় ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,23026,গানটা যত শুনি ততই ভালো লাগে। ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,26125,বার বার শুনতে ইচ্ছে করে গানটা..... ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,20562,তাদের কে চিত করে শুয়িয়ে সোনার দুটি বিচির মধ্যে পাথর দিয়ে আঘাত করা হোক ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,2201,এটা কিভাবে কিনব ,0,0,0,0,0,1,True,True,0.0,,,,Youtube,Business
EmoNoBa,Train,13200,তো আমি কি করতাম? ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,10176,বাকি রানাদের কে কেউ কিছু করার নাই ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,1935,অনেক অনেক ভালো লাগলো নাটক টি ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Entertainment
EmoNoBa,Train,19442,শুরুতেই ধনের নাটক দেখে খুব মজা পাচ্চি..😎😎 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,28,"আমরা বাঙালিরা ও পাগলের মত দেখতে থাকি,কোন কিছু হবেনা,সবকিছু দেখাবে,বাট করবেনা ",1,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,21126,"ডিজিটাল বাংলাদেশে,,ডিজিটাল রেপ ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,22512,ফুটবল রাজা শেখ রাসেল ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,22073,এতো টাকা দিয়ে তাদের কাছ থেকে কেন কিনবো🖕 ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Fashion
EmoNoBa,Train,1848,কেন হিংসে হয় ? ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Travel
EmoNoBa,Train,10966,ইনশাল্লাহ মোস্তাফিজুর রহমান ২০১৯ বিশ্বকাপের মধ্যে নিজের সেরাটা ধরে তুলবে আশা করছি ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,1330,আর আমি টিউশনি করে নিজের খরচ চালাই। তারপরও ওর শর্ত একটাই ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,6782,"ভাই এই প্রথম আপনার ভিডিও দেখলাম, আর যা দেখলাম চোখ কপালে উঠার মত ",0,0,0,0,0,1,True,True,0.0,,,,Youtube,Game
EmoNoBa,Train,27489,আরে তোদের পতাকার জন্ম তো আমরাই দিয়েছি বাপের কালে কাপ জিতীশ নি জিতে এমন করছিস ভালো করে ভিডিও দেখ কে কি করেছে ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,13183,অনেক ভালো লাগলো গানটা শুনে ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,13981,ওই সিরিজে সাকিবভাই বা অন্য কেও দলে ছিলেন না ইন্জুরির জন্য বা অন্য কোনো কারণে।।পরের সিরিজে উনি ব্যাক করায় কায়েসভাই কেই জায়গা ছেড়ে দিতে হইছে।।অাবার জাতীয় লিগে পার্ফম করে গেছেন ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Sports
EmoNoBa,Train,5258,মাগী কে গালি দিলেও খুসি হবে তাই সরকার নিষিদ্ধ করে দেন এসব গান মিউজিক গান ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,2137,আওয়ামী লীগ আর পুলিশ. একই কুত্তার বাচ্চা এটা. সবাই জানে ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,5638,একদম ঠিক কথা ভাইয়া ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,21504,"মানুষের কোনো বিবেন নাই,,, ",1,0,0,0,0,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,26008,চমক গুরু! ♥ ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Education
EmoNoBa,Train,13844,বাসায় উঠে ধরা ধরি করবি.... পুরাই ডিপজল ডায়লগ...😁😁😁 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,24158,তবে কেন মিছে এ ভালবাসা? গভীর আবেগে আমার চোখে জল এসে গেল। আমি সেই জল গোপন করবার জন্য জানালা দিয়ে তাকিয়ে বললাম ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,11143,এসব দুষ্কৃতিকারীদের রুখে দিন। ,0,0,0,0,1,0,True,True,0.0,,,,Twitter,Politics
EmoNoBa,Train,2926,মাইয়্যাডা ছাগলের ৩ নাম্বার বাচ্চার মত লাফায় ক্যা... ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Education
EmoNoBa,Train,9925,ধন্যবাদ সময় টিভি কে ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Politics
EmoNoBa,Train,22242,আপনি যদি ছেলেটার ফোন নাম্বার দিতেন খুব ভালো হইতো ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Politics
EmoNoBa,Train,10380,সরী টো সে দ্যাট মোসারফ করিমের অভার কনফিডেন্স গুলাই দিন দিন তার জনপ্রিয়তায় প্রশ্নবিদ্ধ করবে! ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,9205,আসাম যাবো। ☺ ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,16787,হ তার লেভেল আপনার মাথার উপরে 😁😁 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,23218,কেউ ঠেলাঠেলি কইরো নাহ সবাইকে কমেন্ট পড়ার সুজগ দিয়া হইবে লাইনে খাড়াউ😂😂 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,13504,ওই ঘটনায় ২৬জন নিহত হয়েছিলেন। আমরা সোহেলের পরিবার ,1,0,0,0,0,0,True,True,0.0,,,,Twitter,Politics
EmoNoBa,Train,20507,সেটা বলে বোঝাতে পারবো না। আপনাদের কাছে কৃতজ্ঞ। আয়েশাকে যখন আমি দেখি ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Entertainment
EmoNoBa,Train,13831,নায়িকার বয়স নায়কের মায়ের মত ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,6191,তোমায় ছোট করে দেখছি না ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,11327,কিন্তু আশানুরূপ নয়। সেই সিদ্ধান্তের লাভ ক্ষতির হিসাব সে আজো মিলাতে পারেনি। আজ সে অর্পণাকে চায় ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,13861,পারিয়ার চামচা গুলারেউ ধরে ১০ বছর করে জেল দিতে হবে ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,26581,"এগুলা কি হইতাছে আমাদের দেশে! খুন,নারী,শিশু ধর্ষণ। পুলিশ কি বালডা হালায়।এগুলারে জেলে ডুকাইয়া পোলাও,কুরমা খাওয়ায়।কুত্তার বাচ্চাগুলারে ক্রসফায়ার করতে পারে না।।আমার সাওয়ার দেশ।।।।।।।।।সাওয়া।সোনা না। ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,16827,বাংলাদেশে অপরাধী+এইসব বালের গানই ভাইরাল ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,27458,ভালো কাজের পাশে আল্লাহ থাকেন সব সময়।অনেক ধন্যবাদ ভাই আপনাদের। ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,7353,সাবাস বাংলাদেশ এগিয়ে জাও। ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Politics
EmoNoBa,Train,20957,অচেনা লোকের সামনে পড়লে ঠিক কী করা উচিত। সঙ্কুচিত খুব। নিজের মধ্যে নিজেকে গুটিয়ে রেখেছেন। তাঁর বিপন্ন শৈশব ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Sports
EmoNoBa,Train,20758,"লিটন দাসের ব্যাটিং ইমরুল কায়েসের চাইতে ভালো, কারন লিটন দাসের প্রতিটা শট গ্যাপ শট, আর কাবার ড্রাইভ গুলো মাটি কামরিয়ে যায়। আর ইমরুল কায়েস এই কয়দিন ভালো খেলে আর শটগুলো উড়ন্ত শট। ",0,0,0,1,0,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,7856,আমার এই ভিডিও টা দেখে ভালো লাগছে ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,20307,"কেন জানি আপনার গানটা সুনলে আমার পিয়জনের কথা মনে পরে জায়, আপনার গান আমার কাছে অনেক অনেক ভাল লাগে ভাই ",0,0,0,1,0,0,True,True,1.0,,,,Youtube,Music
EmoNoBa,Train,17083,ভাই দাম এতো কম বলে ভিডিওর সময় কিন্তু কিনতে গেলে দাম ডাবল হয়ে যায়? ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Fashion
EmoNoBa,Train,18508,এরকম অবিচার দেখলে মনে হয় তাদের আল্লাহ খোদা নেই ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,26751,ও সানজূ দেখে নাই ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,26221,অথছ কে বা কারা খুন করলো এবং কে খুন হলো তার কিছুই জানতে পারলো না আনু। একটু আধটু প্রতিবাদের জোর আনুর ছেলে বেলার স্বভাব ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,12294,বাকি রানারা খেলনা পেলোনা :( ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,22028,এই রানা অনেক আগেই সাবলম্বী হয়েছে। পারলে অন্য রানাদের পড়ালেখার দায়িত্ব নিন। তাবিব ভাইয়ের কাছেই না হয় রানা থাকবে। উলটা তেলা মাথায় তেল দিচ্ছেন কেন? রানা কে হাইলাইট করে এক্সট্রা কিছু টাকা কামানোর ধান্দায়? ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,20569,গানটা অনেক ভাল লাগলো ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,7710,ভাই আপনি প্রমান করে দিলেন যে টাকা থাকলেই মানুষ ছুট মনের হয়না কিছু মানুষ আজ আছে আপ্নের মত ভাই ছেলট আপনাকে ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal
EmoNoBa,Train,14599,নতুন ইউটিউবার হিসেবে আপনাদের সাহায্য চাচ্ছি।ইনশাআল্লাহ আমার সাথে থাকবেন।❤❤ ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal
EmoNoBa,Train,5126,বেয়াদুপির ফল রশিদ খাঁন ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,1267,বলে ওঠে - ''আমি ছাড়া আরো দুইজন ওইখানে আটকা পড়ে আছে ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Education
EmoNoBa,Train,25038,সত্যি অসাধারণ 😭😭 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,11821,আজকের মত ভাইয়া আপনার কোন রোস্ট ভিওডিও দেখে এত হাসি বা মজা পাইনাই....😸😸😸😸😸😋😋😊😊 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Education
EmoNoBa,Train,19384,অন্যের দেশকে সম্মান করার কাতরতা। নিজের দেশের পতাকাকে সম্মান করার মতোই স্থির হয়ে তিনি তাকিয়ে রইলেন তারুণ্যের জোয়ারে। পাশ ফিরে তাকিয়ে দেখি ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Education
EmoNoBa,Train,8374,এনাদার কামলা সং! 😣 বালামার ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,8538,"আমারা সবাই একা কিন্তু সবাই মিলে আমরা একা না,,এভাবে একজন একজনের দায়িত্ব নিলে রানারা পাবে একটা সুন্দর জীবন 😍😍 ",0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,7532,জামাই মানেই ত্যাড়া। -এত বড় কথা ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Education
EmoNoBa,Train,25435,ভাইয়া গানটা খুবি ভালো লাকছে আমার কাছে ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,7734,অফার মন্দ নহে। আগের বার পদ্মা সেতু নাহয় মিস হয়া গেছে ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Education
EmoNoBa,Train,21170,অনেক খুশি হলাম। আফ্রিদি 😍😍 তাবিব 😍😍 রানা 😍😍 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,16238,কোনো ভুল নেই ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,25030,সাব্বির কি ভাবে দলে চান্স পায় ? ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,10046,আর ও নামত তার একটু পরে। প্রতিদিনই আমাদের চোখে চোখ পড়ত। মনে হত সে কিছু বলতে চাচ্ছে ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,6504,তাবিব ভাই কে একটা শার্ট গিফট করে সম্মানিত করলে খুব খুশি হতাম ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,8022,এখন যত বেশি অশ্লীলতা তত বেশি ভিও।এখন গানের কথা থেকে বেশি গানের ভিডিও প্রাধান্য পায় বেশি। ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,4737,যদিওবা হিন্দি মুভি বালা অবলম্বনে করা হয়েছে তবে মোটামুটি গোছালো ছিল ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,14802,কিভাবে যেনা করতে হয় তা এইসব নাটক দেখেই অনেক কিছু শেখা যায়।ভাল কিছু শেখার মত নাটক চাই।।। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,22198,"এরকম সাইকেল, শপিং অন্য রানারা পেতে পারতোনা। ভেবেছিলাম অন্য রানাদের দেখা পাবো আজকে ",1,0,0,0,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,8610,অনেক ভাল লাগল ভাই ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,11702,"কাবিলা মামায়,একটা মালওই ভাই 😂😂 ",0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
