source_dataset,source_split,source_row_id,included,exclusion_reason,harmonization_rule,original_labels,harmonized_labels,text_snippet
EmoNoBa,Train,18671,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,অসাধারণ 👌ধন্যবাদ অমি ভাই সহ পুরো ব্যাচেলর টিম কে 
EmoNoBa,Train,27367,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,বাহ! গানটা তো মজার। 😂 
EmoNoBa,Train,11349,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,"রানা ভাইরাল হইছে বলে,,,,তার পড়ালেখার খরচ নিতে চাচ্ছো? "
EmoNoBa,Train,8201,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,আমি বুঝি । আমি যখন কলেজে দ্বিতীয় বর্ষে তখন তো আমি গরিব ছেলেদের আমি কলেজে থাকা 
EmoNoBa,Train,19120,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,ভালোবাসার আরেক নাম প্রিয় নবী হযরত মুহাম্মদ ( সাঃ)❤ 
EmoNoBa,Train,10666,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,দেশ থেকে চলে এসে এখন আমি যে তার পাশে দাঁড়িয়ে আছি এটা যে সত্যি 
EmoNoBa,Train,9241,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,একদম বাজে নাটক জমজ ১১ বেশি অর্ধ্যেকেই ব্যাকরাউন্ড ইডিট করা 
EmoNoBa,Train,27663,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=1 Anger=1 Sadness=0 Fear=1,anger=1 disgust=0 fear=1 joy=0 sadness=0 surprise=1,তাদের প্রায় ১শ’ কোটি ব্যবহারকারীর অ্যাকাউন্ট থেকে হ্যাকাররা তথ্য হাতিয়ে নিয়েছে। 
EmoNoBa,Train,12546,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,গত কয়েক বছর ধরে আলবেসিলেস্তেদের হয়ে আছেন সেরা ফর্মে। মেসি হিগুয়েইনদের জন্য স্পেস
EmoNoBa,Train,13565,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,মাদারচোদ পদ্মা সেতুই বানাইতে দম যায় আর আসে আবার পদ্মার চেয়েও বড় সেতু কি গাজা বিক
EmoNoBa,Train,18495,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,দেশে নির্বাচন ব্যাবস্থা উঠে গিয়ে সিলেকশন ব্যাবস্থার উদ্ভব হয়েছে। বুবু যাকে সিলেক
EmoNoBa,Train,17250,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,অন্তরে শুধু তুমি 
EmoNoBa,Train,21877,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ভালবেসে বিয়ে করেছেন একজন এসিড দগ্ধ নারীকে। সম্প্রতি তাদের কোল জুড়ে এসেছে ফুট ফু
EmoNoBa,Train,11055,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,"যারা এই ব্লগ এ ডিজলাইক দিলো তারা হলো , উগান্ডার বাসিন্দা "
EmoNoBa,Train,15764,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ভাই সেরকম গানটা 
EmoNoBa,Train,23617,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,"কি বলবো সত্যি ওসাদারন, "
EmoNoBa,Train,23916,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,আমি চাই ওই বেটার পাসি হওক ... আপনার কি বলেন??? 
EmoNoBa,Train,5179,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,নোয়াখালী এসে ব্লগ করর অনুরদ রইলো আফ্রিদি ভাইয়া।। 
EmoNoBa,Train,4243,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,নপুংসক করে দেওয়া হোক। 
EmoNoBa,Train,21654,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,আপনার কথা গুলা অনেক মজার।। 😄😄😄 
EmoNoBa,Train,23480,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,আমার কথা কখনও কি পড়বে তোমার মনে। যদি কখনও খবর পাও আমার চলে যাওয়ার কথা 
EmoNoBa,Train,1705,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,সঠিক সিদ্ধান্ত। ধন্যবাদ পি এম। 
EmoNoBa,Train,18128,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,অতিরিক্ত সময়ে যখন মনে হচ্ছিল কারও পা চলছে না 
EmoNoBa,Train,1541,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,আফ্রিদি ভাইয়ের শেরওয়ানি তা অনেক সুন্দর 
EmoNoBa,Train,24679,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,নটির পুয়াইনতর পুটকির খাল তুলো ডান্ডা দিয়া 
EmoNoBa,Train,227,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,আসলে যে খেলে সেই বুঝে খেলাটা কি  
EmoNoBa,Train,6902,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,"সত্যি ভালোবাসা করে যার ভেঙে গেছে সেই বুঝতে পারে এই গানের বেথা।,😭😭😭😭😭 "
EmoNoBa,Train,9698,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,সুন্দর একটা ব্লগ ছিলো।🥰 
EmoNoBa,Train,11986,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,আমি চিকন মানুষ 
EmoNoBa,Train,12544,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,আমি ২৩০ টাকা দিয়ে কিনেছি সুলতানি টুপি 
EmoNoBa,Train,2261,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,হিহিহি মুই হাচ জানুয়ারি 😂 
EmoNoBa,Train,13537,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,মানুষের দোয়া-ভালোবাসা নিয়ে সাফল্যের হিমালয় পেরিয়ে যান 
EmoNoBa,Train,2517,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=1 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=1 surprise=0,মনে হয় দেশ একনো সাদিন হয় নি আবার যুদ্ধ করতে হবে .............. 
EmoNoBa,Train,129,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,চমক ভাই সত্যিই একটা চমক ।। 
EmoNoBa,Train,16265,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,আপু তোমার গরুর মাংসের রেসেপি চাই। 
EmoNoBa,Train,26943,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,নুরের আলো মাদিনা চেনেল 
EmoNoBa,Train,14831,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,"কুনো বিএনপি নাই, তবে ভোট দিতে দেয়ার উচিৎ চিলো "
EmoNoBa,Train,12616,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,আয়মান রে অনেক ছেলেরা পুটকি মারছে।। 
EmoNoBa,Train,11984,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,তার সুখ মরে যায়। সুখী হবার সহজ উপায় বিবেকহীন হওয়া 
EmoNoBa,Train,7968,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,অনেক দারুন লাগলো।😍😍😍😍😍😍😍😍😘😘😘😘😘😘😘😍😍😍😍😘😘😘😘😘😘😘😍😍😍😍😘😘😘😘😘😘😘😍😍😍😍😘😘😘 
EmoNoBa,Train,21438,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,কেন হঠাৎ তুমি এলে 
EmoNoBa,Train,17202,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,একসাথে দুই খ্যাতকে ভাল্লাগতাসে 😃😃😃 
EmoNoBa,Train,9264,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,জীবনে আপনার মত হতে চাই 
EmoNoBa,Train,23865,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,"অনুষ্ঠান আয়োজন করছে যারা,,, সেই শালারা কি জানো না বাংলাদেশে কি মডেল নাই,,,। বিল"
EmoNoBa,Train,18795,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ভাই রোকিয়াকে দেখতে চাই 
EmoNoBa,Train,1033,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,পাটিয়ে দিছেন ভাই বলার ভাষা নেই হাশির ঠেলাই খাট বেঙ্গে গেছে 😝 
EmoNoBa,Train,1192,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ভাইয়া শুধু গাড়ি নিয়ে খেলা যাক 
EmoNoBa,Train,19744,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,এই মানুষটিকে সবার সামনে এনে কটিন শান্তি দেওয়া হোক। ফাসি দেওয়া হোক এদের। 
EmoNoBa,Train,1830,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,অনেক অনেক ধন্যবাদ 
EmoNoBa,Train,8063,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,"আপনার ছোট পোলাপানের মত ন্যাকামি পছন্দ করি না,, "
EmoNoBa,Train,25444,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,মিউজিক টা একদূম বাজে 
EmoNoBa,Train,5598,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,দারুন বস সামনে আরো নতুন অনেক চমক দিবে আসা করি 
EmoNoBa,Train,11818,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,জীবনে প্রথম স্বপ্নে দেখার ব্যাক্তির সাথে বাস্তবে দেখা হওয়ার কথা । এটাই ওর আর আম
EmoNoBa,Train,6512,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,"অসাধারণ, পারভেজ ভাই😍 অসাধারণ কম্বিনেশন ডিজে রাহাত "
EmoNoBa,Train,1133,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,এই খবর ইন্টারনেট-বাহিত হয়ে ছড়িয়ে পড়েছে বিশ্বে। তবু মেসিকে বের করতে পারেনি কলকাতা
EmoNoBa,Train,1586,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,কাফিরের বাঁচ্চা আল্লাহ্ তোদের বিচার করবে! আল্লাহ্ তোদের বিচার করবেই!!! ইয়া আল্লা
EmoNoBa,Train,720,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,এটা মধ্যবিত্তের জন্য নয় ..সবকিছুর দাম বেশি 
EmoNoBa,Train,24664,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,টিভির দর্শক ও অপামর ক্রিকেট-পাগলা বাঙ্গালীর কাছে 
EmoNoBa,Train,3857,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,বড় মানুষের মনটাও বড় হয়। 
EmoNoBa,Train,7754,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,ব্যাটা আবুল কোনহানকার 
EmoNoBa,Train,11775,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,আপনি পাগল কিন্তু অনেক ভালো খেলোয়াড় 
EmoNoBa,Train,3066,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,"খুবই মজাদার, হাস‍্যরসিক রাষ্ট্রপতি। মানুষটির মধ্যে এতটুকু অহংকার নেই। একেবারে সা"
EmoNoBa,Train,7634,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,ভাইয়া আপনার ভিডিও অনেক ভালো লাগে। ভাইয়া আমি আপনার সাথে একবার দেখা করতে চাই ভাইয়া
EmoNoBa,Train,7819,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,আশরাফুলকে দেখতে চাই জাতিয় দলে 
EmoNoBa,Train,24830,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,আবিসা মনি শুভ জন্মদিন। মনি তুমি ভালো মানুষ হও। তোমার জন্য দোয়া করি।অনেক অনেক ভাল
EmoNoBa,Train,12332,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,কঠিন বাস্তবতা। বাস্তবে এই রকম কমই হয়..... 
EmoNoBa,Train,8435,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,সত্যি আজ মন থেকে আপনাকে স্যালুট জানাই😍😍 
EmoNoBa,Train,10151,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,গল্পটা ভালোই বানান 
EmoNoBa,Train,6614,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,"ফাসি দেওয়া হক। এইটাই বিচার,,,,,,,,,,,, "
EmoNoBa,Train,22578,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,দোয়া করি এভাবে জানি সবার মানের আশা পুরনো হয় 
EmoNoBa,Train,23026,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,গানটা যত শুনি ততই ভালো লাগে। 
EmoNoBa,Train,26125,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,বার বার শুনতে ইচ্ছে করে গানটা..... 
EmoNoBa,Train,20562,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,তাদের কে চিত করে শুয়িয়ে সোনার দুটি বিচির মধ্যে পাথর দিয়ে আঘাত করা হোক 
EmoNoBa,Train,5541,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,আল্লাহ যেন আকবরের বোনকে ভালো রাখে আর জান্নাতি হবার তৌফিক দান করুক আল্লাহু আমিন ই
EmoNoBa,Train,2201,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=1 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=0 surprise=1,এটা কিভাবে কিনব 
EmoNoBa,Train,13200,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,তো আমি কি করতাম? 
EmoNoBa,Train,10176,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,বাকি রানাদের কে কেউ কিছু করার নাই 
EmoNoBa,Train,1935,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,অনেক অনেক ভালো লাগলো নাটক টি 
EmoNoBa,Train,19442,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,শুরুতেই ধনের নাটক দেখে খুব মজা পাচ্চি..😎😎 
EmoNoBa,Train,28,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=1 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=1 surprise=0,"আমরা বাঙালিরা ও পাগলের মত দেখতে থাকি,কোন কিছু হবেনা,সবকিছু দেখাবে,বাট করবেনা "
EmoNoBa,Train,21126,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,"ডিজিটাল বাংলাদেশে,,ডিজিটাল রেপ "
EmoNoBa,Train,22512,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ফুটবল রাজা শেখ রাসেল 
EmoNoBa,Train,22073,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,এতো টাকা দিয়ে তাদের কাছ থেকে কেন কিনবো🖕 
EmoNoBa,Train,27983,False,LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,Love=1 Joy=0 Surprise=0 Anger=0 Sadness=0 Fear=0,EXCLUDED,"ব্যাচেলার পয়েন্টও দেখবো কিছু দিনের বিতরে,ইনশাআল্লাহ "
EmoNoBa,Train,1848,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,কেন হিংসে হয় ? 
EmoNoBa,Train,10966,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ইনশাল্লাহ মোস্তাফিজুর রহমান ২০১৯ বিশ্বকাপের মধ্যে নিজের সেরাটা ধরে তুলবে আশা করছ
EmoNoBa,Train,1330,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,আর আমি টিউশনি করে নিজের খরচ চালাই। তারপরও ওর শর্ত একটাই 
