source_dataset,source_split,source_row_id,text,anger,disgust,fear,joy,sadness,surprise,emonoba_disgust_assumption,f5_eligible,original_love,original_class,original_contempt,original_enjoyment,domain,topic,sample_id,processed_text
EmoNoBa,Train,73,অনেক আবুল এখানে কমেন্ট করছে আফ্রিদি ভাই তেলা মাথায় তেল দিচ্ছে।রানা ফেমাস তাই তার কাছে আছেন।আপনি পারলে আফ্রিদির মত একটা পথ শিশুর দায়িত্ব নিয়ে দেখান।নিজে কিছু না করতে পারলে অন্যকে নিরুৎসাহিত করবেন নাহ। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Personal,EMO-73-3765d8eb,অনেক আবুল এখানে কমেন্ট করছে আফ্রিদি ভাই তেলা মাথায় তেল দিচ্ছে।রানা ফেমাস তাই তার কাছে আছেন।আপনি পারলে আফ্রিদির মত একটা পথ শিশুর দায়িত্ব নিয়ে দেখান।নিজে কিছু না করতে পারলে অন্যকে নিরুৎসাহিত করবেন নাহ।
EmoNoBa,Train,79,গানের মধ্যে ডিপজলের রিয়েকশন টা সেইরকম😂😂 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music,EMO-79-1f99d86e,গানের মধ্যে ডিপজলের রিয়েকশন টা সেইরকম
EmoNoBa,Train,81,ভাই এই প্রথম...অাপনার একটা ভিডিও অনেক ভালো লাগলো.... ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal,EMO-81-3950fd1f,ভাই এই প্রথম..আপনার একটা ভিডিও অনেক ভালো লাগলো..
EmoNoBa,Train,85,কুত্তা লীগ আওমিলীগ ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-85-207f537a,কুত্তা লীগ আওমিলীগ
EmoNoBa,Train,88,বাই মায়াজাল কি আপনার চেনেল ,0,0,0,1,0,1,True,True,0.0,,,,Youtube,Business,EMO-88-64effa44,বাই মায়াজাল কি আপনার চেনেল
EmoNoBa,Train,93,দামি ফোন হাতে।দামি হোটেলে গিয়ে শো আপ করে চেকইন দিচ্ছে ফেসবুকে ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Education,EMO-93-91615cd5,দামি ফোন হাতে।দামি হোটেলে গিয়ে শো আপ করে চেকইন দিচ্ছে ফেসবুকে
EmoNoBa,Train,98,স্যার আপনাকে অনেক ধন্যবাদ। ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Education,EMO-98-3cd61b6c,স্যার আপনাকে অনেক ধন্যবাদ।
EmoNoBa,Train,99,ভোদা আর বরিশাল সেতুর নাম ভাউতাবাজি ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-99-42f755e8,ভোদা আর বরিশাল সেতুর নাম ভাউতাবাজি
EmoNoBa,Train,103,গ্রোথ হরমোনের অভাবে চারপাশের হতাশা ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Sports,EMO-103-b3960569,গ্রোথ হরমোনের অভাবে চারপাশের হতাশা
EmoNoBa,Train,108,"কিন্তু একজন মানুষের বেঁচে থাকার ইচ্ছেটাকে ভালো ভাবেই ধ্বংস করে দেয়। #দন্ত্যন"" ",1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal,EMO-108-243401f9,"কিন্তু একজন মানুষের বেঁচে থাকার ইচ্ছেটাকে ভালো ভাবেই ধ্বংস করে দেয়। দন্ত্যন"""
EmoNoBa,Train,114,ভাইয়া সব সময় আছি থাকবো😍😍😍 ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Education,EMO-114-fd3bb268,ভাইয়া সব সময় আছি থাকবো
EmoNoBa,Train,121,লোক দেখানোর জন্নো ভোট দেয় ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-121-2929f72d,লোক দেখানোর জন্নো ভোট দেয়
EmoNoBa,Train,127,"সত্যি মনটা খুব ভালো হয়ে গেলো, আমি দোয়া করি রানা যেনো মানুষের মতো মানুষ হতে পারে। এবং তাবিব ভাইকে হাজারো সালাম তার জন্য আজ রানা নতুন একটা জীবন পেলো, ",0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal,EMO-127-9e1b258a,"সত্যি মনটা খুব ভালো হয়ে গেলো, আমি দোয়া করি রানা যেনো মানুষের মতো মানুষ হতে পারে। এবং তাবিব ভাইকে হাজারো সালাম তার জন্য আজ রানা নতুন একটা জীবন পেলো,"
EmoNoBa,Train,137,ডিস লাইক দেয় কোন রাজাকারের বাচ্চা ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Sports,EMO-137-74db3009,ডিস লাইক দেয় কোন রাজাকারের বাচ্চা
EmoNoBa,Train,140,একের পর এক । তলিয়ে যেতে থাকি আরব অন্ধকারে ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal,EMO-140-1e6b8abc,একের পর এক । তলিয়ে যেতে থাকি আরব অন্ধকারে
EmoNoBa,Train,144,চোখের পানি ধরে রাখতে পারলাম না আমার খুব ইচ্ছা এরকম মানুষদের পাসে দাড়াবো। ,1,0,0,0,0,0,True,True,1.0,,,,Youtube,Personal,EMO-144-608c81a1,চোখের পানি ধরে রাখতে পারলাম না আমার খুব ইচ্ছা এরকম মানুষদের পাসে দাড়াবো।
EmoNoBa,Train,145,জিম্বাবুয়ে বাংলাদেশ টিমকে সব সময় টিকিয়ে রেখেছে এরা আমাদের বন্ধু ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Sports,EMO-145-d946d67a,জিম্বাবুয়ে বাংলাদেশ টিমকে সব সময় টিকিয়ে রেখেছে এরা আমাদের বন্ধু
EmoNoBa,Train,150,জগরা করতে পারছি না ,1,0,0,0,1,0,True,True,0.0,,,,Facebook,Personal,EMO-150-8d2cc3ce,জগরা করতে পারছি না
EmoNoBa,Train,156,অসংখ্য ধন্যবাদ অভিনন্দন খুব চমৎকার লেগেছে। মাদ্রাসার ছাত্ররা আরো এগিয়ে যাও ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Education,EMO-156-887dea5e,অসংখ্য ধন্যবাদ অভিনন্দন খুব চমৎকার লেগেছে। মাদ্রাসার ছাত্ররা আরো এগিয়ে যাও
EmoNoBa,Train,159,বলতে পারেন? আজকে পর্যন্ত রানা নামক সেই পশুটাকে গ্রেপ্তার করা হয়নি। দয়া করে বলবেন না চেষ্টা করা হচ্ছে ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Education,EMO-159-c37f2a4a,বলতে পারেন? আজকে পর্যন্ত রানা নামক সেই পশুটাকে গ্রেপ্তার করা হয়নি। দয়া করে বলবেন না চেষ্টা করা হচ্ছে
EmoNoBa,Train,169,ধর্মের ভিত্তিতে জাতিগত নির্যাতনসহ তাদের বিরুদ্ধে মানবতাবিরোধী অপরাধ সংঘটিত হয়েছে কি না ,1,0,0,0,0,0,True,True,0.0,,,,Twitter,Politics,EMO-169-27d5cf5b,ধর্মের ভিত্তিতে জাতিগত নির্যাতনসহ তাদের বিরুদ্ধে মানবতাবিরোধী অপরাধ সংঘটিত হয়েছে কি না
EmoNoBa,Train,172,ভালো লাগছে রানাকে দেখে💘💘💘💘 ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal,EMO-172-40b49764,ভালো লাগছে রানাকে দেখে
EmoNoBa,Train,176,অবজ্ঞা করতে দ্বিধা করছে না। ব্যক্তি পর্যায়েও দৃষ্টিকটুভাবে এই চর্চা বাড়ছে। শ্রেষ্ঠত্ব আর ক্ষমতা দেখাতে ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Politics,EMO-176-152914d7,অবজ্ঞা করতে দ্বিধা করছে না। ব্যক্তি পর্যায়েও দৃষ্টিকটুভাবে এই চর্চা বাড়ছে। শ্রেষ্ঠত্ব আর ক্ষমতা দেখাতে
EmoNoBa,Train,177,তোমার বাবাকে মাই টিবির মালিক হিসেবে না চিনলেও বাবা হিসেবে ওায়লরাউন্ডার ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal,EMO-177-2dc3e6ac,তোমার বাবাকে মাই টিবির মালিক হিসেবে না চিনলেও বাবা হিসেবে ওয়লরাউন্ডার
EmoNoBa,Train,183,ইউটিউবে পর্ন খুঁজতে খুঁজতে হতাশা হওয়া মানুষগুলাই এই ভিডিওতে ডিজলাইক দিচ্ছে😡 ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Personal,EMO-183-191b5346,ইউটিউবে পর্ন খুঁজতে খুঁজতে হতাশা হওয়া মানুষগুলাই এই ভিডিওতে ডিজলাইক দিচ্ছে
EmoNoBa,Train,186,সেরা একটা নাটক দেখলাম ♥ ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Entertainment,EMO-186-5d5f2917,সেরা একটা নাটক দেখলাম ♥
EmoNoBa,Train,193,এটা আমার ড্যানি মামার ছিলো🤣🤣🤣🤣 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment,EMO-193-2e1c04a5,এটা আমার ড্যানি মামার ছিলো
EmoNoBa,Train,200,নীল পরী আমি কাঁধি আর আপনি হাসেন 😬সময় ভালো হলে যেমন হয় আর কি  ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Entertainment,EMO-200-0ab0aef5,নীল পরী আমি কাঁধি আর আপনি হাসেন সময় ভালো হলে যেমন হয় আর কি
EmoNoBa,Train,205,"আমার মনে হয় এখানে এগুলো না বলাই ভালো, আর এখানে এগুলো বলে আপনি কি প্রমাণ করেছেন নিজেকে, দয়া করে আল্লাহ জ্ঞান বুদ্ধি দিছে একটু ভেবেচিন্তে দেখেন কোন জায়গা কোন কমেন্ট করতে হবে। ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Entertainment,EMO-205-b33f0e09,"আমার মনে হয় এখানে এগুলো না বলাই ভালো, আর এখানে এগুলো বলে আপনি কি প্রমাণ করেছেন নিজেকে, দয়া করে আল্লাহ জ্ঞান বুদ্ধি দিছে একটু ভেবেচিন্তে দেখেন কোন জায়গা কোন কমেন্ট করতে হবে।"
EmoNoBa,Train,206,উনি হিল্লোল না? ,0,0,0,0,0,1,True,True,0.0,,,,Youtube,Food,EMO-206-3e6a904e,উনি হিল্লোল না?
EmoNoBa,Train,215,চুলটা না অনেক দুষ্টু খালি সামনে আসে 🤣😂 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment,EMO-215-d9fb0481,চুলটা না অনেক দুষ্টু খালি সামনে আসে 🤣😂
EmoNoBa,Train,218,আরে বায়রার গরের বায়রা বাংলাদেশ কই তোমার নানির ভিতরে ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-218-62e54805,আরে বায়রার গরের বায়রা বাংলাদেশ কই তোমার নানির ভিতরে
EmoNoBa,Train,220,ব্রাজিল ও উরুগুয়ে লাতিন আমেরিকায় বিশ্বকাপ জিতে.... # ব্রাজিল স্বাগতিক হিসেবে কখোনই বিশ্বকাপ জেতে নি...... তাই বলা যায় ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Sports,EMO-220-0863b94b,ব্রাজিল ও উরুগুয়ে লাতিন আমেরিকায় বিশ্বকাপ জিতে.. # ব্রাজিল স্বাগতিক হিসেবে কখোনই বিশ্বকাপ জেতে নি.. তাই বলা যায়
EmoNoBa,Train,226,আজও বালু? পুরা বস্তা খুলে চেক করলো বালু ছাড়া কিছুই পাইল না ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Entertainment,EMO-226-12730a41,আজও বালু? পুরা বস্তা খুলে চেক করলো বালু ছাড়া কিছুই পাইল না
EmoNoBa,Train,227,আসলে যে খেলে সেই বুঝে খেলাটা কি  ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Sports,EMO-227-453e0618,আসলে যে খেলে সেই বুঝে খেলাটা কি
EmoNoBa,Train,234,হুবহু কপি না পারলেও পারতেন দাদা ,1,0,0,0,1,0,True,True,0.0,,,,Youtube,Music,EMO-234-064f4fa6,হুবহু কপি না পারলেও পারতেন দাদা
EmoNoBa,Train,236,"নাটক বুঝো আবেগ বুঝনো না এই লাইনটা,, বেসি ভাল লাগসে ",0,0,0,1,0,0,True,True,1.0,,,,Youtube,Music,EMO-236-defd9098,"নাটক বুঝো আবেগ বুঝনো না এই লাইনটা,, বেসি ভাল লাগসে"
EmoNoBa,Train,241,আমার অনেক কষ্ট হচ্ছে ভাই ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Music,EMO-241-20821c1b,আমার অনেক কষ্ট হচ্ছে ভাই
EmoNoBa,Train,242,অামার দেখা শ্রেষ্ট ভিডিও ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal,EMO-242-2b1b2002,আমার দেখা শ্রেষ্ট ভিডিও
EmoNoBa,Train,245,হারে ভাই তকে কী বলব মুখের ভাষা নাই আমার পাইলে একবার জরিয়ে দরে কাদতাম ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Personal,EMO-245-0ce80096,হারে ভাই তকে কী বলব মুখের ভাষা নাই আমার পাইলে একবার জরিয়ে দরে কাদতাম
EmoNoBa,Train,249,"আকবর বিশ্বকাপ জিতার আগে কই ছিলা,তারপর ও বলব বাংলাদেশ বিশ্বকাপ জিতার জন্য অভিনন্দন। ",0,0,0,1,0,0,True,True,0.0,,,,Youtube,Sports,EMO-249-200fdbd2,"আকবর বিশ্বকাপ জিতার আগে কই ছিলা,তারপর ও বলব বাংলাদেশ বিশ্বকাপ জিতার জন্য অভিনন্দন।"
EmoNoBa,Train,251,ভাই আমি কিনবো নাম্বার দেন ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Business,EMO-251-e79136ec,ভাই আমি কিনবো নাম্বার দেন
EmoNoBa,Train,253,ভাইয়া অনেক ভালো লাগল ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Music,EMO-253-ebcbef13,ভাইয়া অনেক ভালো লাগল
EmoNoBa,Train,259,"দেহ দিলা মনটা দিলা না 😂,,,আর কি চাসরে ভাতিজা 😨😨😨 ",0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music,EMO-259-bbdb7ef1,"দেহ দিলা মনটা দিলা না ,,আর কি চাসরে ভাতিজা 😨😨😨"
EmoNoBa,Train,262,মাশাল্লাহ আপনাকে আরো বেশি বেশি বক্তব্য দেওয়ার তাওপিক দান করোক?? ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Education,EMO-262-e3618be1,মাশাল্লাহ আপনাকে আরো বেশি বেশি বক্তব্য দেওয়ার তাওপিক দান করোক??
EmoNoBa,Train,265,শান্তি দে ভাই! ,1,0,0,0,1,0,True,True,0.0,,,,Youtube,Education,EMO-265-cf0eecaf,শান্তি দে ভাই!
EmoNoBa,Train,274,সাদী আর গান দুইটি ই জোশ ছিলো ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Music,EMO-274-f5870f97,সাদী আর গান দুইটি ই জোশ ছিলো
EmoNoBa,Train,275,শালার বেটা তরে জুতা দিয়া পিঠানোর দরকার। তর বংশের মধ্যে কোন একটা আলেম আছে। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Entertainment,EMO-275-43952d55,শালার বেটা তরে জুতা দিয়া পিঠানোর দরকার। তর বংশের মধ্যে কোন একটা আলেম আছে।
EmoNoBa,Train,277,"ভাইজান, টেবিল ফ্যান বা এসির খুব বাজে সাউন্ড ছিল পুরো ভিডিও জুড়েই। পরবর্তী সময় মাথায় রাখবেন। ",1,0,0,0,0,0,True,True,0.0,,,,Youtube,Food,EMO-277-f6031703,"ভাইজান, টেবিল ফ্যান বা এসির খুব বাজে সাউন্ড ছিল পুরো ভিডিও জুড়েই। পরবর্তী সময় মাথায় রাখবেন।"
EmoNoBa,Train,279,এবং বোর্ডের উপরে অসন্তুষ্ট থাকার কারনে অবসর নিয়েছিল। কিন্তু মামুনুল এইটা কি করলো??? একজন কোচ একজন ফুটবলারকে প্রথম প্রথম স্কোয়াডে নাও রাখতে পারে ,1,0,0,0,0,1,True,True,0.0,,,,Facebook,Sports,EMO-279-7b171bca,এবং বোর্ডের উপরে অসন্তুষ্ট থাকার কারনে অবসর নিয়েছিল। কিন্তু মামুনুল এইটা কি করলো?? একজন কোচ একজন ফুটবলারকে প্রথম প্রথম স্কোয়াডে নাও রাখতে পারে
EmoNoBa,Train,282,ভাই দরশোক জা বলে ভিডিও আর কি দেখব ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Business,EMO-282-bab36d7f,ভাই দরশোক জা বলে ভিডিও আর কি দেখব
EmoNoBa,Train,285,যাক ভালোই হবে! ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Politics,EMO-285-7b0d2d1b,যাক ভালোই হবে!
EmoNoBa,Train,298,তুমি আমার জন্য বেস্ট ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal,EMO-298-6e1b01ed,তুমি আমার জন্য বেস্ট
EmoNoBa,Train,309,যারা ইসলামের দাওয়াত দিবো সব গুলার মা রে চুদি ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Entertainment,EMO-309-4f49f0dd,যারা ইসলামের দাওয়াত দিবো সব গুলার মা রে চুদি
EmoNoBa,Train,310,সবসময়ই খেত টাইপের ড্রেসের ভিডিও করেন কেন?😫 আনকমন কিছু ড্রেস কালেকশন দেখাতে পারেন না..? এইসব টি-শার্ট ফুটপাতে অহরহ পাওয়া যায়..😂 ,1,0,0,0,1,0,True,True,0.0,,,,Youtube,Fashion,EMO-310-bfe55762,সবসময়ই খেত টাইপের ড্রেসের ভিডিও করেন কেন? আনকমন কিছু ড্রেস কালেকশন দেখাতে পারেন না..? এইসব টি-শার্ট ফুটপাতে অহরহ পাওয়া যায়..
EmoNoBa,Train,311,অবনী আর ওর বান্ধবী -আমি দেখেই বুঝতে পেরেছি।তোমার মুখে অবনী নামটা এতবার শুনেছি যে ,0,0,0,1,0,0,True,True,1.0,,,,Facebook,Personal,EMO-311-88fa707a,অবনী আর ওর বান্ধবী -আমি দেখেই বুঝতে পেরেছি।তোমার মুখে অবনী নামটা এতবার শুনেছি যে
EmoNoBa,Train,315,দুই পায়েই শট করার ক্ষমতা তাকে মেসির থেকে এগিয়ে রাখে। আর সবচেয়ে লিথাল হল তার যেকোন এংগেল থেকে শট করার ক্ষমতা। শুধু একটাই সমস্যা ,0,0,0,0,0,1,True,True,1.0,,,,Facebook,Sports,EMO-315-a8dc31a5,দুই পায়েই শট করার ক্ষমতা তাকে মেসির থেকে এগিয়ে রাখে। আর সবচেয়ে লিথাল হল তার যেকোন এংগেল থেকে শট করার ক্ষমতা। শুধু একটাই সমস্যা
EmoNoBa,Train,318,এক আকাশ শুভেচ্ছা ,0,0,0,1,0,0,True,True,1.0,,,,Facebook,Personal,EMO-318-efe0b4ba,এক আকাশ শুভেচ্ছা
EmoNoBa,Train,322,এ কোনো কথা???! 🤣🤣🤣🤣😋 ,0,0,0,1,0,1,True,True,0.0,,,,Youtube,Music,EMO-322-238c334a,এ কোনো কথা??! 🤣🤣🤣🤣😋
EmoNoBa,Train,323,দেখলাম সেও খুব অস্থির হয়ে উঠছে আমি কাঁদছি না দেখে ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal,EMO-323-ea4b9565,দেখলাম সেও খুব অস্থির হয়ে উঠছে আমি কাঁদছি না দেখে
EmoNoBa,Train,326,কাবিলার ভক্ত গুলো কই??? ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Entertainment,EMO-326-0f314165,কাবিলার ভক্ত গুলো কই??
EmoNoBa,Train,330,ঐ কুততার বাচ্চা মালিক রে ক্রস ফায়ার দেওয়া হউক নয়ন বন্ডের মতো। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-330-00367da2,ঐ কুততার বাচ্চা মালিক রে ক্রস ফায়ার দেওয়া হউক নয়ন বন্ডের মতো।
EmoNoBa,Train,334,দারুন... অপেক্ষা করে থাকি সপ্তাহে দু দিন আপনার ভিডিও আসার জন্য ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Food,EMO-334-da8673ee,দারুন.. অপেক্ষা করে থাকি সপ্তাহে দু দিন আপনার ভিডিও আসার জন্য
EmoNoBa,Train,345,"ভাইয়া ঢাকায় ভ্লগ করেন, চিটাগাং ভ্লগ করেন, বরিশাল ভ্লগ করেন, বাংলাদেশের প্রায় জায়গায় আপনার ভ্লগ করা হয়েছে, বাইরের দেশে ও ভ্লগ করা হয়েছে, কিন্তু ভাইয়া নোয়াখালী একটা ভ্লগ করেন😥😥 ",1,0,0,0,0,0,True,True,0.0,,,,Youtube,Personal,EMO-345-d67ccc57,"ভাইয়া ঢাকায় ভ্লগ করেন, চিটাগাং ভ্লগ করেন, বরিশাল ভ্লগ করেন, বাংলাদেশের প্রায় জায়গায় আপনার ভ্লগ করা হয়েছে, বাইরের দেশে ও ভ্লগ করা হয়েছে, কিন্তু ভাইয়া নোয়াখালী একটা ভ্লগ করেন"
EmoNoBa,Train,348,ধন্যবাদ ভাইয়া এভাবেই কাজ করে জান। বাংলাদেশের প্রতিভাবানদেন তুলে আনুন। ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal,EMO-348-b10649b9,ধন্যবাদ ভাইয়া এভাবেই কাজ করে জান। বাংলাদেশের প্রতিভাবানদেন তুলে আনুন।
EmoNoBa,Train,352,মালুর বাচ্চা মালু রেন্ডিয়া ছাড়া তোগ অস্তিত্ব কতটুকু? ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-352-c1f31d47,মালুর বাচ্চা মালু রেন্ডিয়া ছাড়া তোগ অস্তিত্ব কতটুকু?
