group_id,text_hash,original_text,group_type,n_rows,n_distinct_label_vectors,sources,splits,source_row_ids,source_datasets,label_vectors,all_anger,all_disgust,all_fear,all_joy,all_sadness,all_surprise,action,resolution
4baa8570ac1b,4baa8570ac1b,"আমার অন্তরের অন্তথল থেকে ছাত্রদের জন্ন্য দোয়া রইলো, নিউ মাকেটের ডাকাত ব্যাবসায়ীদের অনেক দিন থেকে দোলাই দেওয়ার ইচ্ছা ছিলো মনে, আজ তা পুরন হলো, যদিও আমি অংশগ্রহন করতে পারি নাই",B,2,2,MONOVAB,NONE,4056|4457,MONOVAB|MONOVAB,"(1, 1, 0, 0, 0, 0) | (0, 1, 0, 0, 1, 0)",1|0,1|1,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
7c2eb39a8f0f,7c2eb39a8f0f,"আমি একমাত্র সরকারি কোন কাজে আঙ্গুলের চাপ দিতে রাজি আছি, শিক্ষিত ব্যক্তি আঙ্গুলের চাপ দেয় না।আমি স্বাক্ষর করতে জানি, বায়োমেট্রিক পদ্ধতি দিয়ে দেশের মানুষদের বিপদের দিকে এগিয়ে নিয়ে যাচ্ছে।",B,2,2,UBMEC,NONE,11606|11651,UBMEC|UBMEC,"(0, 0, 0, 0, 0, 1) | (0, 0, 1, 0, 0, 0)",0|0,0|0,0|1,0|0,0|0,1|0,RETAINED_UNRESOLVED — requires user decision,PENDING
694b814e8455,694b814e8455,আমি সবসময় নিজেক সুখী ভাবি  কারণ আমি কখনো কারো কাছে কিছু প্রত্যাশা করি না  কারো কাছে কিছু প্রত্যাশা করাটা সবসময়ই দুঃখের কারণ হয়ে দাঁড়ায়,B,2,2,UBMEC,NONE,2451|2452,UBMEC|UBMEC,"(0, 0, 0, 1, 0, 0) | (0, 0, 0, 0, 1, 0)",0|0,0|0,0|0,1|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
c99ec41d5b1d,c99ec41d5b1d,আর মিষ্টিতে তো প্রতিদিনই পোকা ধরে ,B,2,2,EmoNoBa,Train,25708|16313,EmoNoBa|EmoNoBa,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",1|0,0|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
cef59c29126f,cef59c29126f,"ইমরান এইচ এর সহযোগি থাবা মগাচিপ, অনন্য আজাদ (চুমা চুমির ইভেন্টের জনক) দের মুক্ত চিন্তা, বিজ্ঞান মনস্ক লেখা পড়ে অনেকেই দাবি তুলেছে মুর্তি পুতুলের উপাসনা দরকার নেই, ভেংে ফেল এসব।এসব হল মুক্ত চিন্তা মানুষের কাজ -কারণ মুক্ত চিন্তার আলোকিত মানুষেরা এসব অর্থহীন পুতুল মানুষের উপর প্রভুত্ব করবে এটা না মেনে নিতে পারে না - তারাই হিন্দু দেব মুর্তি ভাংার পিছনে হয় তারা সরাসরি যুক্ত নতুবা তাদের লেখা /চিন্তার মাধ্যমে তারা মুক্ত চিন্তক দের প্রভাবিত করেছে।",B,5,2,UBMEC,NONE,8263|8378|8393|8395|8408,UBMEC|UBMEC|UBMEC|UBMEC|UBMEC,"(0, 1, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",0|0|0|0|0,1|1|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|1|1|1,0|0|0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
3195f7754166,3195f7754166,"ইসলাম রক্ষায় শুধু ভারতীয় নয়, ইসরাইলের পন্য নয়, ইউরোপীয় পন্য নয় সবার আগে বর্জন করুন এই দেশীয় নাস্তিকদের ধোসর যমুনা গ্রপের সকল পন্য । কেননা এইদেশের নাস্তিকদের সবচেয়ে শক্তিশালী মিড়িয়া হলো ৭১ টিভি । . আর এই ৭১ টিভির মালিক হলো নাস্তিকদের শিরমনি মোজাম্মেল বাবু । যাঁর সিংহভাগ আয় হয় যমুনা গ্রুপের পন্য বিক্রির মাধ্যমে । যমুনা গ্রপের পন্যর মধ্যে উল্লেখযোগ্য হলো ফ্রেস ব্রান্ডের আটা, ময়দা, সুজি তাই আসুন যমুনা গ্রুপের সকল পন্য বর্জন করে ইসলামের জন্য নিজের মনকে সবার আগে ফ্রেশ করি ।",B,4,3,UBMEC,NONE,11037|11056|11127|11193,UBMEC|UBMEC|UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 0, 1) | (0, 0, 0, 0, 1, 0)",1|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|1|1,0|1|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
0dda5043bb40,0dda5043bb40,উগ্র কম জ্ঞ্যানী শিক্ষক ও লজ্জার কারন।,B,3,2,MONOVAB,NONE,14937|15334|15341,MONOVAB|MONOVAB|MONOVAB,"(1, 0, 0, 0, 0, 0) | (0, 1, 0, 0, 0, 0)",1|0|0,0|1|1,0|0|0,0|0|0,0|0|0,0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
f2390c1c2560,f2390c1c2560,উনি যেভাবে কথা বলতেছে মনে হয় উনি জনগনের বিপুল পরিমান ভোট পেয়ে ক্ষমতায় এসেছেন  নির্লজ্জ কোথাকার,B,2,2,UBMEC,NONE,2695|2696,UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 1, 0, 0, 0, 0)",1|0,0|1,0|0,0|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
18bdd66b5722,18bdd66b5722,এই অফিসে প্রয়োজনের তুলনায় কর্মী বেশি। কর্মী ছাঁটাই করা হোক। পরের সপ্তাহেই বেশ কয়েকজন কর্মী ছাঁটাই করা হলো। বলুন তো ,B,2,2,EmoNoBa,Train,1380|12051,EmoNoBa|EmoNoBa,"(1, 0, 0, 0, 1, 0) | (1, 0, 0, 0, 0, 0)",1|1,0|0,0|0,0|0,1|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
275ea4484c37,275ea4484c37,"এই সেই লোক যে, রাজাকার শিরমণি গু আজমের পরিবার কে গায়ের জোরে ভি আই পি সুবিধা দিয়েছিল! https://www.youtube.com/watch?v=Wts4F0zk_8o",B,3,2,UBMEC,NONE,12126|12133|12387,UBMEC|UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",1|1|0,0|0|0,0|0|0,0|0|0,0|0|1,0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
e63b8263ee6b,e63b8263ee6b,একটি সুখের সংসার ধ্বংস করার জন্য শয়তান যতগুলো অস্ত্র আবিস্কার করেছে তার মধ্যে মারাত্নক অস্ত্র স্ত্রীর ঘ্যানর ঘ্যানর,B,2,2,UBMEC,NONE,3016|3017,UBMEC|UBMEC,"(0, 1, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",0|0,1|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
9f636c700950,9f636c700950,একমত!,D,2,2,MONOVAB|UBMEC,NONE,9838|28359,UBMEC|MONOVAB,"(0, 0, 0, 1, 0, 0) | (1, 0, 0, 0, 0, 0)",0|1,0|0,0|0,1|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
13b090757e3b,13b090757e3b,একমত।,D,2,2,MONOVAB|UBMEC,NONE,10006|27779,UBMEC|MONOVAB,"(0, 0, 0, 1, 0, 0) | (1, 0, 0, 0, 0, 0)",0|1,0|0,0|0,1|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
19dbb05752b0,19dbb05752b0,ঐ নিরাপত্তা প্রধানই সকল চুরির হোতা। ওনাকে যথাযথ আইনি প্রক্রিয়ায় এনে বিচার করা হোক। আশাকরি অন্যায়ের কাছে নতি শিকার করবেন না।,B,3,3,UBMEC,NONE,12269|12338|12347,UBMEC|UBMEC|UBMEC,"(0, 0, 0, 1, 0, 0) | (0, 0, 0, 0, 1, 0) | (0, 0, 1, 0, 0, 0)",0|0|0,0|0|0,0|0|1,1|0|0,0|1|0,0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
9de06f09b00f,9de06f09b00f,ওদের কিছু করতে পারবে না কারন তাদের কথায় থানা পুলিশ উঠে আর বসে  আর এমপি মন্ত্রি তো এদের হাতের ময়লা  আর এদের খমতায় সাধারন জনগণের জায়গা জমি আর টাক্কা পয়সা হাতিয়ে নিয়ে আজ কয়েশো কুটি টাকার মালিক  অনেক লোককে পথের ফকির করে দিয়েছে  দেখি কি বিচার করে নাকি টাকা পয়সা নিয়ে ছেড়ে দেয় ,B,3,3,UBMEC,NONE,3355|3356|3357,UBMEC|UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 1, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",1|0|0,0|0|0,0|1|0,0|0|0,0|0|1,0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
ce8ae90a3136,ce8ae90a3136,ওরা মানুষ না,B,2,2,UBMEC,NONE,9659|9733,UBMEC|UBMEC,"(0, 0, 0, 0, 1, 0) | (0, 1, 0, 0, 0, 0)",0|0,0|1,0|0,0|0,1|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
a0642ff28ce0,a0642ff28ce0,কক্সবাজারের কুতুবদিয়া উপজেলায় দুই স্কুলছাত্রকে অচেতন করে ধর্ষণের অভিযোগ উঠেছে  এ ঘটনায় আওয়ামী লীগের নেতা শেখ শহিদুল ইসলাম    ও তাঁর দোকানের কর্মচারী মোহাম্মদ নওশাদকে    আটক করেছে পুলিশ ,B,2,2,UBMEC,NONE,3405|3406,UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 1, 0, 0, 0, 0)",1|0,0|1,0|0,0|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
6a256693f16f,6a256693f16f,কঠোর ব্যবস্থা নেওয়া উচিত । শাস্তি দিতে হবে না হলে অপকর্ম বাড়বে,B,2,2,UBMEC,NONE,12229|12380,UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",1|0,0|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
b9a021760f69,b9a021760f69,কিছু বলার নাই ,D,2,2,EmoNoBa|MONOVAB,NONE|Train,11121|26011,EmoNoBa|MONOVAB,"(1, 0, 0, 0, 0, 0) | (1, 0, 0, 0, 1, 0)",1|1,0|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
b9d36299151b,b9d36299151b,কিছু ভিনগ্রহের আবাল ইউটিউব চালায়  এতো  সুন্দর একটা ভিডিও তে ডিসলাইক দেয় এইসব ডিসলাইকারদের থাপড়াতে মন চায় ,B,2,2,UBMEC,NONE,3621|3622,UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 1, 0, 0, 0, 0)",1|0,0|1,0|0,0|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
2b83be9603b5,2b83be9603b5,কিন্তু তার স্থান পায়েই হয় ,B,2,2,EmoNoBa,Train,10017|27915,EmoNoBa|EmoNoBa,"(1, 0, 0, 0, 1, 0) | (1, 0, 0, 0, 0, 0)",1|1,0|0,0|0,0|0,1|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
878b8c92e620,878b8c92e620,কুকুরের বাচ্চা।,D,2,2,MONOVAB|UBMEC,NONE,9676|25496,UBMEC|MONOVAB,"(1, 0, 0, 0, 0, 0) | (1, 1, 0, 0, 0, 0)",1|1,0|1,0|0,0|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
5377b43a2bb2,5377b43a2bb2,ক্যাম্পাসের সবচেয়ে সুন্দর ব্যাপারটা ফুটে উঠছে  রাতের বাসের মোহ  একদম জীবন্ত লাগতেছে ওয়ালটা  গ্রেট জব  জুনিয়রস,B,2,2,UBMEC,NONE,3790|3791,UBMEC|UBMEC,"(0, 0, 0, 0, 0, 1) | (0, 0, 0, 1, 0, 0)",0|0,0|0,0|0,0|1,0|0,1|0,RETAINED_UNRESOLVED — requires user decision,PENDING
d199b7f1ec16,d199b7f1ec16,চোখে পানি চলে আসলো। ,D,2,2,EmoNoBa|UBMEC,NONE|Train,3527|11377,EmoNoBa|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",1|0,0|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
5d69e8e93519,5d69e8e93519,চোরের মার বড় গলা। ,D,2,2,EmoNoBa|UBMEC,NONE|Train,26821|12087,EmoNoBa|UBMEC,"(0, 0, 0, 0, 1, 0) | (1, 0, 0, 0, 0, 0)",0|1,0|0,0|0,0|0,1|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
ef65e7d6ff82,ef65e7d6ff82,ছাগল,D,2,2,MONOVAB|UBMEC,NONE,9750|26073,UBMEC|MONOVAB,"(0, 1, 0, 0, 0, 0) | (1, 0, 0, 0, 0, 0)",0|1,1|0,0|0,0|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
7859573b823b,7859573b823b,ছি ছি ছি,B,2,2,MONOVAB,NONE,199|26053,MONOVAB|MONOVAB,"(1, 1, 0, 0, 0, 0) | (1, 0, 0, 0, 1, 0)",1|1,1|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
809694098ebe,809694098ebe,"ছেলে গেলে ছেলে পাবে,,,বৈশাখের আনন্দ গেলে পাওয়া এটা আর পাওয়া যাবে না,,,,,,এরা মেলাতে আসে পরপুরুষের সাথে মজা নিতে,,,,",B,2,2,UBMEC,NONE,10095|10131,UBMEC|UBMEC,"(0, 1, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",0|0,1|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
64acfb05dd5b,64acfb05dd5b,জয় বাংলা,B,6,2,MONOVAB,NONE,822|853|926|953|45259|45509,MONOVAB|MONOVAB|MONOVAB|MONOVAB|MONOVAB|MONOVAB,"(0, 0, 0, 1, 0, 0) | (1, 0, 0, 0, 0, 0)",0|0|0|0|1|1,0|0|0|0|0|0,0|0|0|0|0|0,1|1|1|1|0|0,0|0|0|0|0|0,0|0|0|0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
d7b8d8401f2d,d7b8d8401f2d,জানোয়ার,D,2,2,MONOVAB|UBMEC,NONE,8178|26181,UBMEC|MONOVAB,"(1, 0, 0, 0, 0, 0) | (1, 1, 0, 0, 0, 0)",1|1,0|1,0|0,0|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
809809d67c48,809809d67c48,টানা এগারোবার বাংলাদেশের সর্বোচ্চ রফতানিকারকের স্বর্ণ ট্রফি অর্জন করেছে জাবের অ্যান্ড জুবায়ের ফেব্রিক্স  রোববার প্রতিষ্ঠানের উপ ব্যবস্থাপনা পরিচালক মোহাম্মদ আবদুল্লাহ জাবেরের হাতে প্রধানমন্ত্রী শেখ হাসিনা এ পুরস্কার তুলে দেন ,B,2,2,UBMEC,NONE,4267|4268,UBMEC|UBMEC,"(0, 0, 0, 1, 0, 0) | (0, 0, 0, 0, 0, 1)",0|0,0|0,0|0,1|0,0|0,0|1,RETAINED_UNRESOLVED — requires user decision,PENDING
c1fe3139c9ee,c1fe3139c9ee,ঠিক কথা,D,2,2,MONOVAB|UBMEC,NONE,10968|28068,UBMEC|MONOVAB,"(0, 0, 0, 1, 0, 0) | (1, 0, 0, 0, 0, 0)",0|1,0|0,0|0,1|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
3d01f0d345bb,3d01f0d345bb,ঢাকা দক্ষিণ সিটি করপোরেশনে বিএনপির প্রার্থী ইশরাক হোসেনের নির্বাচনী প্রচারের সময় ক্ষমতাসীন আওয়ামী লীগ ও বিএনপির কর্মী সমর্থকদের মধ্যে সংঘর্ষের ঘটনা ঘটেছে  এ সময় আওয়ামী লীগ ও বিএনপির সমর্থকদের মধ্যে সংঘর্ষ ও পাল্টাপাল্টি ধাওয়ার ঘটনা ঘটে,B,2,2,UBMEC,NONE,4329|4330,UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 1, 0, 0, 0, 0)",1|0,0|1,0|0,0|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
d8bb49927c54,d8bb49927c54,তনু হত্যার বিচার চাই ।সাংবাদিক কেন নীরব ? কার ভয়ে ?,B,2,2,UBMEC,NONE,11275|11348,UBMEC|UBMEC,"(0, 0, 1, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",0|0,0|0,1|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
8bc0005a94a7,8bc0005a94a7,"তনুই একমাত্র তনু নয়, আরও তনু আছে। ২৬শে মার্চ ৪৫তম মহান স্বাধীনতা দিবসে প্রধানমন্ত্রী শেখ হাসিনার প্রতিঃ ক্ষোভে উত্তাল কুমিল্লা! অবিলম্বে কুমিল্লা বিভাগটি গঠন করুন =========================================== কুমিল্লা ভিক্টোরিয়া সরকারি কলেজের ইতিহাস বিভাগের স্নাতক (সম্মান) দ্বিতীয় বর্ষের ছাত্রী ও নাট্যকর্মী সোহাগী জাহান তনুকে ধর্ষণ শেষে হত্যা করা হয়। কালভার্টের পাশের জঙ্গলে মাথা থেত্লানো সোহাগীর অর্ধনগ্ন মৃতদেহ উদ্ধার করা হয়। ঘটনায় জড়িতদের অবিলম্বে গ্রেফতার ও তাদের বিচার দাবিতে ক্ষোভে উত্তাল হয়ে উঠেছে কুমিল্লা নগরী। এদিকে তনুর বাড়িতে চলছে তার বাবা-মা ও স্বজনদের আহাজারি। কুমিল্লা ভিক্টোরিয়া কলেজ, সরকারি মহিলা কলেজসহ নগরীর বিভিন্ন শিক্ষা প্রতিষ্ঠানের দল নিবিশেষে হাজার হাজার শিক্ষার্থীসহ বিভিন্ন সামাজিক ও সাংস্কৃতিক সংগঠনের নেতা-কর্মীরা মাঠে নেমেছে। শিক্ষার্থীসহ প্রতিবাদী জনতা নগরীতে দফায় দফায় বিক্ষোভ মিছিল শেষে দুপুরে কান্দিরপাড় পূবালী চত্ত্বরে এসে মানববন্ধন ও সমাবেশ করে। রাজধানী ঢাকাসহ দেশের বিভিন্ন স্থানে এ নিয়ে গত চার দিনে বিক্ষোভ ও প্রতিবাদ সমাবেশ করা হচ্ছে। ফেসবুকেও বইছে প্রতিবাদের ঝড়। ৬৪টি জেলা গঠনের পরে প্রস্তাবমত বাংলাদেশকে ৯টি বিভাগে বিভক্ত না করায় রাষ্ট্র-অবকাঠামো শিথীল-সন্ত্রাসমুখী হয়। এতে সন্ত্রাসবাদী-অনৈতিক চেতনা ক্রমবর্ধমান হয়। খালেদা জিয়া অর্ধশিক্ষিত ও কমবুঝ প্রধানমন্ত্রী। তিনি না হয় বরিশাল ও সিলেট বিভাগ গঠন করে বাকী তিনটি বিভাগ গঠন করলেন না। আর বার বার বলা সত্তেও শিক্ষিত ও বুঝ প্রধানমন্ত্রী শেখ হাসিনা ১৯৯৭-এ ইউনিয়নকে ৯টি ওয়ার্ডে বিভক্তির সাথে সাথে বাংলাদেশকে ৯টি বিভাগে বিভক্ত করলেন না। বার বার বলায় পাঁচ বছর পরে ময়মনসিংহ বিভাগ করলেন। বিগত সাতবছরের প্রধানমন্ত্রী শেখ হাসিনার সরকারামলে প্রবৃদ্ধির গড় হার প্রায় ৬.২% ছিল। আগামী বছর প্রবৃদ্ধির হার ৭.০% উপরে হবে। আগামী বছর প্রধানমন্ত্রী শেখ হাসিনা বার বার শুনাবেন, আমি প্রবৃদ্ধির গড় হার ৭.০% তুলেছি যা জাতির ইতিহাস। এইসাথে কুমিল্লা বিভাগটিও হলে প্রবৃদ্ধির গড় হার ক্রমশঃ ৭.৮%-এর উপরে হতো। প্রধানমন্ত্রী শেখ হাসিনাও বার বার এ কথা শুনাতে পারতেন না? কুমিল্লা বিভাগটি এখনও বাকী আছে। বাংলাদেশকে ৮টি বিভাগে বিভক্তির পরে এখন আর একটি বিভাগের জন্যে কোন প্রভাবশীল আন্দোলন হবে না। অথচ কুমিল্লা বিভাগ গঠনের জন্যে বার্ষিক ব্যয় বাড়বে মাত্র চারকেটি টাকা। বাংলাদেশকে ৯টি বিভাগে বিভক্ত করা হলেই রাষ্ট্র-অবকাঠামো সুষম-গণতন্ত্রমুখী হবে।সকলক্ষেত্রে উদার, নৈতিক ও সৃজনশীল চেতনা বিকাশের ধারা দেবে। প্রবৃদ্ধি গড়হার ১.০% বৃদ্ধিসহ জাতির নিরাপত্তা ও উন্নয়ণের ধারা বাড়বে। এখন জরুরী ভিত্তিতে বাকী কুমিল্লা বিভাগটি করুন।",B,2,2,UBMEC,NONE,11068|11092,UBMEC|UBMEC,"(0, 0, 0, 0, 1, 0) | (0, 0, 0, 0, 0, 1)",0|0,0|0,0|0,0|0,1|0,0|1,RETAINED_UNRESOLVED — requires user decision,PENDING
