,comment,anger,contempt,disgust,enjoyment,fear,sadness,surprise
111,তেলবাজ পুলিশ এতো উতসাহী হইয়া বিনা অপরাধীদের উপর জুলুম করোনা। উপরে কিন্তু একজন আছে যিনি সব কিছুই দেখছেন বিচার কিন্তু একদিন হবেই।,1,0,0,0,0,0,0
112,"শাক দিয়ে মাছ ডাকার চেষ্টা করা হচ্ছে!!, যতযাই হোক শুধু বিএনপি এর জন্য দায়ী!!?, শুভ বুদ্ধির উদয় হোক।",1,1,1,0,0,0,0
113,"তারমানে হলো শেখ হাসিনার পরিকল্পনার অংশ।এই নাটকের পরিচালক শেখ হাসিনা আর সহকারী পরিচালক ওবায়দুল কাদের,আর তিন নাম্বার পরিচালক হাসান মাহমুদ।মিথ্যা ও গায়েবি মামলা আবারো শুরু হচ্ছে।",0,1,0,0,0,0,0
114,কেমনে,0,0,0,0,0,0,1
117,বি এন পি তাইলে বেচে আছে ? ভেবেছিলাম ছাত্রলীগ মারামারি করছে।,0,1,0,0,0,0,0
118,ভূতের ভোটে জয়ী সরকারের জয় হোক,0,1,0,0,0,0,0
119,"এটা হবে আমরাও জানি যে,সব দুষ দিবে বিএনপি",0,1,0,0,0,0,0
120,"মারামারি করলো শ্রমিক আর ছাত্রলীগ, ১ নাম্বার আসামী বি এন পি নেতা, আমি ভাবছি শেখ হাচিনা যদি আরো দুই তিন শ বছর বেচে থাকে তাহলে বাংলাদেশের অবস্থা কেমন হবে ।",0,1,0,0,0,0,0
121,কি আজব দেশ.....!!!,0,0,0,0,0,0,1
123,দেশে না-কি শক্তিশালী বিরোধী দল নাই তাহলে এখন বিএনপি নেতার নাম আসলো কিভাবে ?????,0,1,0,0,0,0,0
124,"কি আর বলতাম!! ফ্যাসিস্ট হাসিনা সরকারকে যেকোন মূল্যে হঠাতে হবে, ইনশাআল্লাহ",1,0,1,0,0,0,0
125,এত দেরি হল কেন?,0,1,0,0,0,0,0
126,আমি মনে মনে ভাবতেছি হাসান মাহমুদ বলবে কিন্তু পুলিশ বলবে যে এটা শুনার জন্য আমি মোটেও প্রস্তুত ছিলাম না।,0,0,0,0,0,0,1
127,বাহ্ । মন্ত্রী বলেছেন আর সৈন্যরা সে মতেই এগিয়ে যাইতেছেন।,0,1,0,0,0,0,0
129,"ও,,,,,পুলিশ তাহলে বি এন পি নেতা কে আছে সেটা আগে খুজে বের করতেই ঘটনাস্থলে দেরিতে গেছিলো । তা নাহলে মামলার আসামী আবার কাকে করবে",0,1,1,0,0,0,0
130,গোয়েন্দা তথ্য খুবি শক্তিশালী। ভাইরে এক মাঘে কি শীত যায় রে বাপ্পু।,0,1,0,0,0,0,0
131,"কিশের মধ্যে কি, পান্তা ভাতে ঘি",0,1,0,0,0,0,0
132,পুরানা অভ্যাস কি ভুলা যায়?,0,1,0,0,0,0,0
133,ভেবেছিলাম জামাত-শিবিরের সভাপতিরে আসামী বানাইবো; এখন দেখি বিএনপিরে বানাইলো!!! ব্যপারডা কিছু ওইলো….,0,1,0,0,0,0,0
134,খেয়াল রাখবেন ভুল করে যাতে যারা মারামারি করছে তারা মামলায় ফেঁসে না যায়।মারামারির সৈনিকদের জন্য শুভকামনা রইল।,0,1,0,0,0,0,0
135,"ইয়া মারহাবা,,
এটাতো আরো আগেই জানা,",0,1,0,0,0,0,0
136,"পুলিশ কাঁচা গাঁজা নাকি বাসি গাঁজা খাইছে, আমি তো কিছুই বুঝতেছি না!",0,1,0,0,0,0,0
137,যখন কোন ঘটনার আসামী খুজে পাওয়া যায় না তখন বিএনপি কে দোষারোপ করা হয়,0,1,0,0,0,0,0
138,কি চমৎকার দেখা গেল,0,1,0,0,0,0,0
139,এরা নাকি আবার শক্তিশালী বিরোধী দল চাই,0,1,0,0,0,0,0
140,"হেলমেট পড়ে কারা রাস্তায় পিকেটিং করে জাতী জানে,,",0,1,0,0,0,0,0
141,"বাহ্, মনে মনে যা ভেবেছিলাম তাই হলো,
ঘটনা ঘটালো ছাত্রলীগ-যুবলীগ, আর মামলা খাইলো বিএনপি।",0,1,0,0,0,0,0
142,দেশের মানুষ জানে ঘুরে ফিরে বিম্পির কাদেই পড়বে মামলা,0,1,0,0,0,0,0
143,উনি কোন সালের সাবেক সভাপতি ছিলেন?কিউ জানাবেন প্লিজ,0,1,0,0,0,0,0
145,মারহাবা,0,1,0,0,0,0,0
148,জানি এমনটাই হবে,0,1,0,0,0,0,0
150,"দেখলাম হেলমেট লীগ, পরে শুনি তারেক জিয়ার লোক",0,1,0,0,0,0,0
152,এটা মানুষ আগে জানে কি হবে।,0,1,0,0,0,0,0
154,সিসিটিভি ফুটেজের কোন মূল্য নাই,0,0,1,0,0,1,0
155,হাহাহহাহা এই।দেশ এ বিচারের লজ্জা হয়ে গেছে,0,1,0,0,0,0,0
156,এই দেশের পুলিশ জনতার হাতে একদিন এমন মার খাবে যার নজীর পৃথিবীতে নাই!,1,0,1,0,0,0,0
157,"এটা সবাই জানে যে এইরকম কিছু হবে, সব মামলা বিএনপি খাবে,অথচ সবাই পরিচিত সরকার দলীয় পন্থী",0,1,0,0,0,0,0
158,হা হাহা হাহা,0,1,0,0,0,0,0
159,আমি চিন্তা করি মৃত্যুর পর এরা কি জবাব দিবে,1,0,0,0,0,0,0
160,"নতুন পাঁয়তারা,",0,1,0,0,0,0,0
161,"আমাদের এলাকায় বুধবার সকালে বছরের প্রথম কালবৈশাখী ঝড় হয়, ঝড় শুরুর সাথে সাথেই যে বিদ্যুৎ নিবে গেল আসলো বৃহস্পতিবার রাতে। প্রায় দুই দিন যে বিদ্যুৎ ছিল না এর জন্য ও একমাত্র দায় বিএনপির।",0,1,0,0,0,0,0
162,খালেদাকে হুকুমের আসামী করেনায় ক্যান।,0,1,0,0,0,0,0
163,সাবাস তোমরাই পারবে,0,1,0,0,0,0,0
166,আল্লাহ তুমি আর কত ধৈর্য্য ধরবা। তুমি কত টা ধৈর্য্যশীল তা তো আমরা জানি।,0,0,1,0,0,0,0
167,ছিঃ ছিঃ ছিঃ এমন মিথ্যাচার কেউ মেনে নিবে না,1,0,1,0,0,0,0
168,সারা বছর পড়লো ছাত্রলীগ পরীক্ষায় আসলো বিএনপি-জামআত,0,1,0,0,0,0,0
169,"পাবলিক হাসবে না কাঁদবে বুঝতে পারছে না,,",0,1,0,0,0,0,0
171,"সময় নষ্ট করে কি লাভ?
সহজ সমাধান তো এটাই।
বাহ বাংলাদেশের আইন বিভাগ বাহ,,,,",0,1,0,0,0,0,0
173,এতো নাটক করার দরকার ছিল কি?,0,1,1,0,0,0,0
174,"এ আর নতুন কি, সবাই তো জানে মামলা কাদের নামে হবে",0,1,0,0,0,0,0
175,সাবাস বাংলাদেশ,0,1,0,0,0,0,0
177,কি রম্য রসের দেশে বাস করি রে ভাই......,0,0,1,0,0,1,0
178,"প্রশাসনলীগের জয় হোক, জয় বাংলা।",0,1,0,0,0,0,0
179,কি সুন্দর,0,1,0,0,0,0,0
180,পুলিশ তার ব্যর্থতার দায়ভার থেকে একদম পরিত্রণ।,0,1,0,0,0,0,0
181,বিএনপির নেতা কর্মীর বিরুদ্ধে মামলা দেয়ার অর্থই হলো নিউমার্কেটের বিএনপির নেতাকর্মীর দোকানগুলো আওয়ামীদের কব্জায় নেয়া।,1,0,1,0,0,0,0
182,এটা আর নতুন কি,0,1,0,0,0,0,0
183,এটা তো মুখস্থ করা গল্প,0,1,0,0,0,0,0
185,এটার অপেক্ষা করেছিলাম। ধন্যবাদ বাংলাদেশ পুলিশ কে সেই সাথে ধন্যবাদ জানাই এই সরকারের সকলকে,0,1,0,0,0,0,0
186,আমরা মোটেও বিচলিত নই,0,1,0,0,0,0,0
187,"আস্তে আস্তে তলের বিড়াল ধরা পরবে।
কতক্ষণ আমেরিকা, কতক্ষন লন্ডন, কতক্ষন জার্মানি,
কোটা আন্দোলন, নিরাপদ সড়ক আন্দোলন, এবার নিউমার্কেট ছাত্র ব্যবসায়ী আন্দোলনের মাধ্যমে ক্ষমতা আসতে চাওয়া এই একটি মাত্র দল সারা বিশ্বে আছে কিনা সন্দেহ।",1,0,1,0,0,0,0
188,"লে হালুয়া , সত্য চাপা পড়ে গেল।",0,1,0,0,0,0,0
189,"এখনো কপাল ভালো 
তারেক জিয়া হুকুমের আসামি হয় নাই।
তারপরও চিন্তায় আছি।",0,1,0,0,0,0,0
190,রোজা রমজানের দিন।সামনে ঈদ। তদন্ত করার সময় নাই।বর্তমানে সব কিছুতেই অটো,0,1,0,0,0,0,0
192,এটাই আমাদের দেশ।,0,1,0,0,0,0,0
193,এইডাও তাইলে বিএনপির ষড়যন্ত্র???,0,1,0,0,0,0,0
194,"ছাত্র দলের নাম ভুলে গেছে মনে হয়,",0,1,0,0,0,0,0
195,আগেই জানতাম,0,1,0,0,0,0,0
196,"রমজানের মাস তাই আর বকা দিতে পারলাম না।।
এমন কিছু একটা হবে আমি জানতাম।।।",1,1,1,0,0,0,0
197,সাববাস ভাতিজা।,0,1,0,0,0,0,0
198,এটা তো আ.....লীগের পুরানো আভ্যাস।কাম করলো গুন্ডালিগ আর দোষ বানালো বিনপি,0,1,1,0,0,0,0
199,ছি ছি ছি,1,0,1,0,0,0,0
201,এটাই এখন নির্মম বাস্তবতা,0,1,0,0,0,1,0
202,বাংলাদেশে জন্ম না হলে বিনোদন কত প্রকার ও কি কি তা বোঝা যেত না।,0,1,1,0,0,0,0
203,জাতি এটা দেখার অপেক্ষায় ছিল।,0,1,0,0,0,0,0
204,ভাবা যায়,0,0,0,0,0,0,1
205,এটা জাতি আগেই জানত নতুন কিছু না,1,1,1,0,0,0,0
206,"আগেই জানতাম বিষয়টা এরকমি হবে,আর কতো",1,1,1,0,0,0,0
207,এরা মনে হয় আর ক্ষমতা ছাড়বেনা,1,0,1,0,1,0,0
208,কোকো রহমান কেও আসামি করলে একেবারে অবাক হতো না জনগন,1,1,0,0,0,0,0
209,এটা আর নতুন কি,0,1,0,0,0,0,0
210,খাই দাড়িওয়ালা দোষ হয় গোফওয়ালার। অপরাধীরা একারনেই ধরা ছোয়ার বাইরে থাকে।,1,1,1,0,0,0,0
211,তারেক রহমানকে দেখা যায় নাই,0,1,0,0,0,0,0
212,এ আর নতুন কি আগেই জানা ছিল এরুপ কিছু হবে।। বর্তমানে দেশে বিএনপির লোক বেশী। যা কিছু ঘটছে সব যায়গায় বিএনপি।।,1,1,1,0,0,0,0
213,বাহ!!!! বাহ!!!! ঈদের উপহার।,0,1,0,0,0,0,0
215,লন্ডনের কাউকে হুকুমের আসামি করা যেতো!!!,0,1,0,0,0,0,0
216,"১নং আসামী খালেদা জিয়া কে করলেই তো হয়,,,",1,1,1,0,0,0,0
217,জাতি জানতো এটা বিএনপির কাজ।,0,1,0,0,0,0,0
218,পৃথিবীটা রঙমন্চ আর সেই রঙমন্চের সদর দপ্তর বাংলাদেশ।,0,1,0,0,0,0,0
219,ধিক্কার জানাই,1,0,1,0,0,0,0
220,রমজান মাসের কারনে শয়তান নিজের দায়িত্ব বাংলাদেশ পুলিশ কে বুঝিয়েদিয়ে গেছে...,1,1,1,0,0,0,0
221,এটা নতুন করে বলার কি আছে!! আমরা অনেক আগে থেকেই জানতাম এই ঘটনার শেষ পরিনতি হবে রাজনৈতিক পরিচয়।,0,1,0,0,0,0,0
222,ডাক্তার হাসান মাহমুদ তখন তো কিছু বলি নাই উনি নিশ্চয়ই বলবো তারেক রহমানের ইশারায় সব হয়েছে।।।,0,1,0,0,0,0,0
223,খালেদা জিয়া তারেক রহমানকে আসামী করলেই তো হয়!!,0,1,0,0,0,0,0
224,"সরকারের নাটক মানুষ বোঝে ,মানুষ এখন ফিডার খায় না,,",0,1,1,0,0,0,0
226,পারেতো ওই একটাই কাজ....,0,1,0,0,0,0,0
227,"হ্যা, সহমত তারের রহমান সাহেবের স্ত্রীর নামেও মামলাটাআদেওয়া যায়। স্যার।",0,1,0,0,0,0,0
228,পঙ্গ প্রশাসন থেকে আর কি আশা করা যায়,0,1,0,0,0,0,0
229,এরা যে কোন লেভেলের পুলিশ আল্লাহই ভালো যানে।,0,1,1,0,0,0,0
230,পুলিশ হতে সাবধান!,0,1,0,0,0,0,0
232,উক্ত ঘটনায় নিহত নাহিদের বাবার বিচার না পাওয়ার আশঙ্কা বাস্তবতায় রূপ নিল।,0,1,0,0,0,1,0
233,পুলিশ ভালো করেই জানে যে কিভাবে মামলা সাজালে সরকারের উপরমহল খুশি হবে আর নিজেদের ব্যার্থতা ঢেকে যাবে।,1,1,1,0,0,0,0
235,তোমাদের সাক্ষ্য প্রমাণ আমাদের জানা আছে ।।,0,1,1,0,0,0,0
236,খুবই হতাশ হলাম জামাত শিবিরের নাম নাই তাই,0,1,0,0,0,0,0
237,"পৃথিবীর যত ভাল অর্জন সবটা আমার,
যত আছে মন্দ সবটাই তার।",0,1,0,0,0,0,0
238,"উনাদের চশমা এমন এক চশমা, ইহা দিয়া বিএনপি- জামাত ছাড়া কিছুই দেখা যায়না।",0,1,0,0,0,0,0
239,পুলিশ এখন বাংলাদেশের নষ্ট সংহতা।,1,0,1,0,0,0,0
240,এখানে বি এন পির নেতারা আসামি হবে দেশবাসীর আগে থেকেই জানা ছিলো,0,1,0,0,0,0,0
242,ওরা নিশ্চিত গু খাইয়া বড় হয়েছে,1,0,1,0,0,0,0
243,আমি মাননীয় তথ্যমন্ত্রীর তথ্যের ব্রিফিং এর অপেক্ষায় আছি। কবে শুনাবেন উনার বানী,0,1,0,0,0,0,0
244,চেতনার জয় হইছে,0,1,0,0,0,0,0
247,চলিতেচে চারকাস,0,1,0,0,0,0,0
248,আমার মনে হচ্ছে শহীদ প্রেসিডেন্ট জিয়াউর রহমান এর সঙ্গে জড়িত আছেন।,0,1,0,0,0,0,0
249,অবাক হতে হতে আর অবাক হতে মন চায় না,0,1,0,0,0,0,0
250,দোকান ভাড়া দেয়াও আজকাল অপরাধ??,1,1,1,0,0,0,0
251,কত ক্ষমতা বিএনপির ভাগছিস ১৫ বছর ক্ষমতার বাইরে নইলে যে কি হতো!,0,1,0,0,0,0,0
252,এর নাম আওয়ামিলীগ,0,1,0,0,0,0,0
253,এই সংবাদের জন্য ই অপেক্ষায় ছিলাম,0,1,0,0,0,0,0
254,সোনার বাংলা,0,1,0,0,0,0,0
255,দলকানা পুলিশদের রুহের মাগফিরাত কামনা করছি।,0,1,0,0,0,0,0
258,আই প*ক ইউ বাংলাদেশ পুলিশ,0,0,1,0,0,0,0
259,এইটা নতুন কিছুই না,0,1,0,0,0,0,0
260,সাব্বাশ পুলিশলীগ।জয় বাংলা,0,1,0,0,0,0,0
261,"আসলেই আমার সোনার দেশ একটা রোল মডেল,,,,,,",0,1,0,0,0,0,0
263,ভন্ডামি শুরু,0,1,0,0,0,0,0
264,খালেদা জিয়া জীবিত থাকতে অন্য কাউকে আসামি করার কোন মানেই হয়না।,0,1,0,0,0,0,0
265,জাতীয় পার্টির কেউ নেই....,0,1,0,0,0,0,0
266,বিনেদোন,0,1,0,0,0,0,0
267,ফখরুল সাহেব বেচে গেছেন,0,1,0,0,0,0,0
268,ব্যবসায়ীরা মামলা করলে প্রথম আসামীর নামটা যেন ঢাকা কলেজ ছাত্রদলের সভাপতির থাকে।,0,0,1,0,0,0,0
269,জামাত শিবিরো এই ঘটনায় জড়িত।,0,1,0,0,0,0,0
270,"আ'লীগ ইচ্ছে করেই এই ঘটনা গুলো করে, বিএনপির নামে মামলা দেওয়ার জন্য",1,1,0,0,0,0,0
272,আমি খুব আশ্চার্য হইছি কারন নিউজ টা অনেক দেরিতে হইছে,0,1,0,0,0,0,1
273,আর কয়দিন পরে স্ত্রী পেটে বাচ্চা না হইলেও বলবে এগুলো বিএনপি করেছে,0,1,0,0,0,0,0
274,আলহামদুলিল্লাহ্‌!,0,0,0,1,0,0,0
275,রাজনৈতিক রং লাগিয়ে আসল আসামিদের নিরাপদে থাকার ব্যাবস্থা করা হয়ে গেছে।,1,1,0,0,0,0,0
276,হায় হায় এতো দেরি হলো কেন এই রিপোর্টটা প্রকাশ করতে??যেই কর্মকর্তা এই রিপোর্ট দেরি করে প্রকাশ করছে তাকে বহিষ্কার করা হোক।,0,1,0,0,0,0,0
277,মির্জা ফখরুলকে আসামী করে নাই?,0,1,0,0,0,0,0
278,"একসাথে সহবাস করলে আর বি,এন,পির দোষ হতো না",0,1,0,0,0,0,0
